id;riasec_override_r;riasec_override_i;riasec_override_a;riasec_override_s;riasec_override_e;riasec_override_c
394;NULL;NULL;NULL;NULL;NULL;NULL
501;NULL;NULL;NULL;NULL;NULL;NULL
381;NULL;NULL;NULL;NULL;NULL;NULL
386;NULL;NULL;NULL;4;NULL;NULL
498;NULL;NULL;NULL;4;NULL;NULL
380;NULL;NULL;NULL;NULL;NULL;NULL
500;NULL;NULL;NULL;NULL;NULL;NULL
383;NULL;NULL;NULL;NULL;NULL;NULL
387;NULL;NULL;NULL;4;NULL;NULL
390;NULL;NULL;NULL;NULL;NULL;NULL
388;NULL;NULL;NULL;NULL;NULL;NULL
393;NULL;NULL;NULL;NULL;NULL;NULL
391;NULL;NULL;NULL;3;NULL;NULL
502;NULL;NULL;NULL;3;NULL;NULL
503;NULL;NULL;NULL;NULL;NULL;NULL
385;NULL;NULL;2;NULL;NULL;NULL
384;NULL;NULL;NULL;2;NULL;NULL
389;NULL;NULL;NULL;3;NULL;NULL
399;NULL;NULL;NULL;NULL;NULL;NULL
400;NULL;NULL;NULL;NULL;NULL;NULL
401;NULL;NULL;NULL;NULL;NULL;NULL
398;NULL;NULL;NULL;NULL;NULL;NULL
397;NULL;NULL;NULL;NULL;NULL;NULL
520;NULL;NULL;NULL;NULL;NULL;NULL
421;NULL;NULL;NULL;NULL;5;NULL
504;NULL;NULL;NULL;NULL;NULL;NULL
417;NULL;NULL;NULL;NULL;NULL;NULL
414;NULL;NULL;1;NULL;NULL;NULL
408;NULL;NULL;NULL;NULL;NULL;NULL
422;NULL;NULL;NULL;NULL;NULL;NULL
471;NULL;NULL;NULL;NULL;NULL;NULL
293;NULL;NULL;NULL;NULL;NULL;NULL
424;NULL;NULL;NULL;NULL;NULL;NULL
472;NULL;NULL;NULL;NULL;NULL;NULL
431;NULL;NULL;NULL;NULL;NULL;NULL
443;NULL;NULL;NULL;NULL;NULL;NULL
476;NULL;NULL;NULL;NULL;NULL;NULL
486;NULL;NULL;NULL;NULL;NULL;NULL
128;NULL;NULL;NULL;NULL;NULL;NULL
483;NULL;NULL;NULL;NULL;NULL;NULL
487;NULL;NULL;NULL;NULL;NULL;NULL
488;NULL;NULL;NULL;NULL;NULL;NULL
492;NULL;NULL;NULL;NULL;NULL;NULL
493;NULL;NULL;NULL;NULL;NULL;NULL
515;NULL;NULL;NULL;NULL;NULL;NULL
494;NULL;NULL;NULL;NULL;NULL;NULL
164;NULL;NULL;NULL;NULL;NULL;NULL
157;NULL;NULL;NULL;NULL;NULL;NULL
161;NULL;NULL;NULL;NULL;NULL;NULL
536;NULL;NULL;NULL;NULL;NULL;NULL
